origin,destination,Domestic,CarrierAA,Class,Ticket,amount,miles
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,197.39,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,199.93,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,207.64,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,209.68,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,209.88,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,210.94,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,210.94,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,211.10,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,211.11,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,211.92,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,212.18,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,212.22,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,212.54,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,215.91,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,218.19,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,222.28,2412.00
